,Year,State,Population,Index,Violent,Property,Murder,Rape,Robbery,Aggravated Assault,Burglary,Larceny-Theft,Vehicle Theft
2305,1989,RI,998000,52144,3772,48372,49,266,1122,2335,12045,27104,9223
2306,1990,RI,1003464,53712,4334,49378,48,248,1224,2814,12755,27046,9577
2307,1991,RI,1004000,50595,4638,45957,37,310,1234,3057,11320,26664,7973
2308,1992,RI,1005000,46009,3965,42044,36,311,950,2668,10529,24052,7463
2309,1993,RI,1000000,44990,4017,40973,39,286,1011,2681,10409,24101,6463
2310,1994,RI,997000,41067,3744,37323,41,273,870,2560,9101,23039,5183
2311,1995,RI,990000,42021,3643,38378,33,267,914,2429,9234,24780,4364
2312,1996,RI,990000,39536,3437,36099,25,287,824,2301,8135,23367,4597
2313,1997,RI,987000,36069,3292,32777,25,363,707,2197,7083,21499,4195
2314,1998,RI,988000,34756,3084,31672,24,351,659,2050,6452,21391,3829
2315,1999,RI,990819,35497,2840,32657,36,391,788,1625,6341,22284,4032
2316,2000,RI,1048319,36444,3121,33323,45,412,922,1742,6620,22038,4665
2317,2001,RI,1059659,39020,3278,35742,39,416,986,1837,6824,23875,5043
2318,2002,RI,1068326,38393,3051,35342,41,395,916,1699,6415,24051,4876
2319,2003,RI,1076084,35305,3074,32231,25,505,830,1714,5524,22320,4387
2320,2004,RI,1079916,33839,2673,31166,26,320,731,1596,5465,21623,4078
2321,2005,RI,1073579,31997,2710,29287,34,323,776,1577,5319,19567,4401
2322,2006,RI,1067610,30037,2429,27618,28,285,776,1381,5415,18621,3582
2323,2007,RI,1057832,30147,2404,27743,19,256,751,1378,5236,19281,3226
2324,2008,RI,1053502,32551,2656,29895,31,282,880,1463,5766,20926,3203
2325,2009,RI,1053209,30236,2678,27558,32,296,785,1565,5753,19403,2402
2326,2010,RI,1052528,29668,2709,26959,29,298,782,1600,6124,18432,2403
2327,2011,RI,1050646,30562,2586,27976,20,319,744,1503,6836,18765,2375
2328,2012,RI,1050304,29696,2657,27039,36,292,715,1614,5929,18478,2632
2329,2013,RI,1053354,28451,2710,25741,31,333,683,1547,5621,17881,2239
2330,2014,RI,1054907,25302,2320,22982,26,264,530,1398,4830,16317,1835
2331,2015,RI,1055607,22603,2565,20038,31,342,547,1520,3938,14714,1386
2332,2016,RI,1056426,22582,2524,20058,29,328,540,1513,3788,14674,1596
2333,2017,RI,1056486,21059,2474,18585,21,454,474,1525,3219,13882,1484
2334,2018,RI,1058287,19951,2326,17625,16,494,453,1363,2817,13270,1538
2335,2019,RI,1059361,18601,2342,16259,25,491,418,1408,2321,12580,1358
2336,1960,SC,2382594,35743,3424,32319,314,236,478,2396,10081,19636,2602
2337,1961,SC,2407000,38175,3318,34857,280,224,501,2313,11524,20504,2829
2338,1962,SC,2436000,40847,3012,37835,247,172,468,2125,12299,22696,2840
2339,1963,SC,2483000,45454,4075,41379,249,150,536,3140,14288,23783,3308
2340,1964,SC,2555000,52439,4240,48199,206,271,659,3104,15874,27982,4343
2341,1965,SC,2542000,47256,4504,42752,245,285,546,3428,13374,25450,3928
2342,1966,SC,2586000,51268,5844,45424,301,352,744,4447,13865,27417,4142
2343,1967,SC,2599000,54345,6015,48330,291,379,909,4436,16603,27509,4218
2344,1968,SC,2692000,58567,5853,52714,366,404,1152,3931,19073,28694,4947
2345,1969,SC,2692000,68677,6449,62228,336,378,1347,4388,21711,34099,6418
2346,1970,SC,2590516,79220,7412,71808,377,467,1557,5011,26407,38740,6661
2347,1971,SC,2627000,82447,8188,74259,436,478,1640,5634,27077,41414,5768
2348,1972,SC,2665000,87003,10312,76691,447,599,1762,7504,29760,41003,5928
2349,1973,SC,2726000,90694,10757,79937,392,612,2158,7595,32557,40675,6705
2350,1974,SC,2784000,115961,12688,103273,452,730,3547,7959,43497,51914,7862
2351,1975,SC,2818000,130797,14412,116385,414,748,3125,10125,48306,60764,7315
2352,1976,SC,2848000,139749,17065,122684,331,909,3010,12815,44247,71292,7145
2353,1977,SC,2876000,139120,18297,120823,343,950,3046,13958,46407,67368,7048
2354,1978,SC,2918000,142863,18604,124259,336,1032,2955,14281,43729,72472,8058
2355,1979,SC,2932000,148540,19889,128651,368,1006,3156,15359,44160,75807,8684
2356,1980,SC,3064557,166686,20225,146461,348,1148,3620,15109,51177,85905,9379
2357,1981,SC,3166000,168402,20275,148127,330,1148,3805,14992,50520,88887,8720
2358,1982,SC,3203000,171718,23061,148657,348,1242,3921,17550,47752,92009,8896
2359,1983,SC,3264000,155723,20133,135590,321,1144,3425,15243,42263,85501,7826
2360,1984,SC,3300000,153877,20607,133270,305,1329,3408,15565,40646,84753,7871
2361,1985,SC,3347000,162013,21121,140892,304,1385,3143,16289,41955,90260,8677
2362,1986,SC,3378000,173541,22789,150752,291,1395,3361,17742,45276,96132,9344
2363,1987,SC,3425000,176794,22773,154021,318,1497,3463,17495,46511,97892,9618
2364,1988,SC,3493000,189053,25889,163164,325,1493,4357,19714,49467,103055,10642
2365,1989,SC,3512000,197348,28576,168772,320,1632,4574,22050,48914,107845,12013
2366,1990,SC,3486703,210779,34050,176729,390,1873,5313,26474,48132,115144,13453
2367,1991,SC,3560000,219980,34621,185359,402,2098,6092,26029,51793,119784,13782
2368,1992,SC,3603000,212327,34029,178298,373,2072,6148,25436,49669,116186,12443
2369,1993,SC,3643000,215060,37281,177779,377,1905,6825,28174,47695,117553,12531
2370,1994,SC,3664000,219870,37756,182114,353,1991,6817,28595,46678,122252,13184
2371,1995,SC,3673000,222723,36067,186656,292,1737,6461,27577,46083,126416,14157
2372,1996,SC,3699000,229861,36875,192986,332,1821,6361,28361,47487,129650,15849
2373,1997,SC,3760000,230637,37235,193402,314,1837,6624,28460,46322,131325,15755
2374,1998,SC,3836000,221607,34647,186960,306,1753,5943,26645,44600,126412,15948
2375,1999,SC,3885736,206907,32920,173987,258,1587,5760,25315,39630,119912,14445
2376,2000,SC,4012012,209482,32293,177189,233,1511,5883,24666,38888,123094,15207
2377,2001,SC,4062125,219168,33114,186054,330,1769,5987,25028,42611,126742,16701
2378,2002,SC,4103770,217569,33761,183808,298,1959,5774,25730,43745,123196,16867
2379,2003,SC,4148744,221047,33455,187592,303,1952,5801,25399,43993,127809,15790
2380,2004,SC,4197892,223616,33160,190456,286,1772,5468,25634,43739,130991,15727
2381,2005,SC,4246933,217196,32590,185606,314,1862,5657,24757,42741,126489,16376
2382,2006,SC,4321249,216400,33078,183322,359,1762,5899,25058,42772,124128,16402
2383,2007,SC,4407709,223028,34746,188282,352,1739,6346,26309,45214,126048,17026
2384,2008,SC,4503280,222751,32752,189999,307,1683,6596,24166,45970,126360,17669
2385,2009,SC,4561242,209109,30799,178310,305,1663,5753,23078,45443,119250,13617
2386,2010,SC,4637106,209021,27923,181098,265,1551,5017,21090,46261,121544,13293
2387,2011,SC,4673348,211137,27894,183243,320,1678,4631,21265,47351,122255,13637
2388,2012,SC,4723417,207523,26474,181049,332,1712,4511,19919,45222,122340,13487
2389,2013,SC,4771929,197524,24263,173261,305,1739,3965,17760,40930,119730,12601
2390,2014,SC,4829160,192319,24038,168281,322,1522,4018,17513,37163,118173,12945
2391,2015,SC,4894834,187278,24448,162830,407,1717,3950,17652,34942,114778,13110
2392,2016,SC,4961119,185824,24896,160928,366,1711,4035,18108,32976,114032,13920
2393,2017,SC,5021219,185780,25412,160368,380,2576,3884,18572,31165,114931,14272
2394,2018,SC,5084156,181793,25463,156330,411,2650,3592,18810,29957,111427,14946
2395,2019,SC,5148714,177712,26323,151389,464,2460,3294,20105,27461,108953,14975
2396,1960,SD,680514,7921,282,7639,14,37,62,169,1687,5363,589
2397,1961,SD,690000,7857,245,7612,12,42,61,130,1655,5323,634
2398,1962,SD,721000,7959,279,7680,24,42,62,151,1843,5160,677
2399,1963,SD,737000,8230,278,7952,9,39,78,152,1818,5458,676
2400,1964,SD,715000,8718,408,8310,9,39,59,301,1870,5837,603
2401,1965,SD,703000,8968,415,8553,11,48,65,291,1858,6177,518
2402,1966,SD,682000,10325,568,9757,10,61,68,429,2175,6964,618
2403,1967,SD,674000,10492,586,9906,25,56,87,418,2302,7037,567
2404,1968,SD,657000,11518,563,10955,25,67,127,344,2826,7449,680
2405,1969,SD,659000,12072,510,11562,13,73,85,339,2801,8063,698
2406,1970,SD,666257,13682,616,13066,25,74,114,403,3140,9302,624
2407,1971,SD,670000,13797,644,13153,8,66,122,448,3037,9558,558
2408,1972,SD,679000,14446,756,13690,8,77,106,565,3210,9751,729
2409,1973,SD,685000,14904,869,14035,26,88,169,586,3416,9631,988
2410,1974,SD,682000,18215,1234,16981,14,73,139,1008,4072,11835,1074
2411,1975,SD,683000,18707,1402,17305,25,113,212,1052,4561,11597,1147
2412,1976,SD,686000,18113,1277,16836,12,105,159,1001,4256,11554,1026
2413,1977,SD,689000,17993,1303,16690,14,93,123,1073,3931,11743,1016
2414,1978,SD,690000,18556,1128,17428,13,75,110,930,4138,12186,1104
2415,1979,SD,689000,20393,1096,19297,14,113,140,829,4316,13782,1199
2416,1980,SD,688217,22320,873,21447,5,86,138,644,4766,15521,1160
2417,1981,SD,685000,20640,718,19922,12,79,122,505,4348,14587,987
2418,1982,SD,691000,18276,684,17592,19,79,118,468,3885,12889,818
2419,1983,SD,700000,17833,840,16993,15,119,111,595,3820,12453,720
2420,1984,SD,706000,18444,1041,17403,13,190,105,733,3529,13102,772
2421,1985,SD,708000,18697,967,17730,13,168,121,665,3867,13142,721
2422,1986,SD,708000,19229,883,18346,28,125,115,615,3919,13728,699
2423,1987,SD,709000,18987,849,18138,13,146,87,603,3787,13673,678
2424,1988,SD,715000,18454,813,17641,22,192,87,512,3703,13255,683
2425,1989,SD,715000,19199,969,18230,9,229,84,647,3394,14057,779
2426,1990,SD,696004,20249,1133,19116,14,239,86,794,3671,14678,767
2427,1991,SD,703000,21647,1281,20366,12,279,132,858,4146,15412,808
2428,1992,SD,711000,21322,1383,19939,4,368,120,891,3849,15371,719
2429,1993,SD,715000,21151,1490,19661,24,318,107,1041,3927,14915,819
2430,1994,SD,721000,22367,1641,20726,10,303,135,1193,3938,15916,872
2431,1995,SD,729000,22312,1513,20799,13,299,189,1012,3942,15976,881
2432,1996,SD,732000,21740,1297,20443,9,300,138,850,4077,15532,834
2433,1997,SD,738000,23948,1457,22491,10,357,172,918,4088,17545,858
2434,1998,SD,738000,19366,1139,18227,10,258,149,722,3458,14006,763
2435,1999,SD,733133,19386,1227,18159,18,336,103,770,3255,14043,861
2436,2000,SD,754844,17511,1259,16252,7,305,131,816,2896,12558,798
2437,2001,SD,758324,17644,1171,16473,7,351,103,710,3087,12571,815
2438,2002,SD,760437,17342,1350,15992,11,361,117,861,3034,12139,819
2439,2003,SD,764905,16653,1329,15324,10,356,104,859,2878,11572,874
2440,2004,SD,770621,16227,1319,14885,17,336,112,854,3148,10890,847
2441,2005,SD,774883,15081,1387,13694,18,377,145,847,2505,10350,839
2442,2006,SD,781919,15004,1340,12664,9,336,119,876,2605,9296,718
2443,2007,SD,796214,14403,1347,13156,17,308,112,910,2378,10043,735
2444,2008,SD,804532,15941,2221,13720,37,562,134,1488,2591,10244,885
2445,2009,SD,812383,16155,1777,14378,30,501,117,1129,2621,10891,866
2446,2010,SD,816598,17384,2196,15188,23,385,154,1634,3192,11196,800
2447,2011,SD,823593,17404,2105,15299,20,503,167,1415,2927,11423,949
2448,2012,SD,833354,19850,2701,17326,23,600,157,1921,3280,12973,1073
2449,2013,SD,845510,19007,2733,16274,18,454,156,2052,3383,11955,936
2450,2014,SD,853304,18837,2801,16036,23,336,199,2101,2817,12209,1010
2451,2015,SD,857919,20041,3302,16739,33,367,215,2554,2969,12576,1194
2452,2016,SD,865454,20762,3621,17141,27,379,272,2813,3000,12639,1502
2453,2017,SD,873286,20341,3753,16588,27,575,264,2887,2835,12285,1468
2454,2018,SD,878698,18674,3483,15191,12,617,222,2632,2502,11237,1452
2455,2019,SD,884659,19197,3530,15667,17,642,195,2676,2646,11265,1756
2456,1960,TN,3567089,44250,3250,41000,302,194,961,1793,16505,20162,4333
2457,1961,TN,3615000,45877,3910,41967,290,242,1100,2278,16702,20234,5031
2458,1962,TN,3634000,50334,3767,46567,220,241,1266,2040,16772,24049,5746
2459,1963,TN,3694000,54458,3777,50681,239,247,1048,2243,19056,25503,6122
2460,1964,TN,3798000,59688,4505,55183,225,336,1148,2796,21321,27186,6676
2461,1965,TN,3845000,58173,5333,52840,307,425,1100,3501,20107,26325,6408
2462,1966,TN,3883000,70550,6145,64405,304,421,1337,4083,23394,33513,7498
2463,1967,TN,3892000,82027,8111,73916,347,486,2199,5079,27703,36750,9463
2464,1968,TN,3976000,86465,8766,77699,345,460,2830,5131,28616,38450,10633
2465,1969,TN,3985000,87835,9235,78600,382,505,2996,5352,28492,38885,11223
2466,1970,TN,3924164,94007,10787,83220,346,607,3218,6616,31656,40211,11353
2467,1971,TN,3990000,104266,12520,91746,496,721,3452,7851,35964,43671,12111
2468,1972,TN,4031000,106672,12858,93814,455,802,4076,7525,36049,45637,12128
2469,1973,TN,4126000,126259,14771,111488,544,1108,5383,7736,41663,56206,13619
2470,1974,TN,4129000,151085,15969,135116,555,1062,6490,7862,55745,65055,14316
2471,1975,TN,4188000,178850,16627,162223,477,1095,6987,8068,57766,89184,15273
2472,1976,TN,4214000,179448,16574,162874,462,1072,6215,8825,55647,93493,13734
2473,1977,TN,4299000,170768,16743,154025,434,1276,6266,8767,64154,76371,13500
2474,1978,TN,4357000,160792,16671,144121,411,1335,6639,8286,52876,76948,14297
2475,1979,TN,4380000,175786,18135,157651,430,1511,7277,8917,56710,84850,16091
2476,1980,TN,4545590,204456,20824,183632,489,1700,8208,10427,68251,98876,16505
2477,1981,TN,4610000,198756,19019,179737,448,1735,7916,8920,63811,100526,15400
2478,1982,TN,4651000,205278,19586,185692,452,1651,8173,9310,59934,110316,15442
2479,1983,TN,4685000,187946,18836,169110,410,1682,8094,8650,56498,97785,14827
2480,1984,TN,4717000,183472,21010,162462,394,1887,7867,10862,53002,92176,17284
2481,1985,TN,4762000,198419,22592,175827,429,2027,8614,11522,55563,97159,23105
2482,1986,TN,4803000,217780,25919,191861,501,2256,9978,13184,63649,102103,26109
2483,1987,TN,4855000,226516,25900,200616,444,2133,9409,13914,65632,107459,27525
2484,1988,TN,4919000,219852,26205,193647,461,2201,8537,15006,60894,106052,26701
2485,1989,TN,4940000,222972,27118,195854,417,2270,7926,16505,59621,109908,26325
2486,1990,TN,4877185,246346,32698,213648,511,2415,9325,20447,61646,124127,27875
2487,1991,TN,4953000,265811,35955,229856,547,2299,10543,22566,67608,131855,30393
2488,1992,TN,5024000,258021,37487,220534,520,2377,10964,23626,63665,127934,28935
2489,1993,TN,5099000,267164,39047,228117,521,2544,11224,24758,60299,137683,30135
2490,1994,TN,5175000,264952,38705,226247,482,2545,10735,24943,59080,138173,28994
2491,1995,TN,5256000,281864,40549,241315,557,2477,11732,25783,60086,147143,34086
2492,1996,TN,5320000,289904,41175,248729,503,2475,11902,26295,61896,152405,34428
2493,1997,TN,5368000,295873,42389,253484,511,3056,11487,27335,62899,156843,33742
2494,1998,TN,5431000,273420,38832,234588,460,2485,9667,26220,58432,148057,28099
2495,1999,TN,5483535,257413,38111,219302,391,2415,8598,26707,51362,142685,25255
2496,2000,TN,5689283,278218,40233,237985,410,2186,9465,28172,56344,154111,27530
2497,2001,TN,5749398,295768,42776,252992,423,2196,10219,29938,59705,165015,28272
2498,2002,TN,5789796,292961,41562,249399,420,2290,9413,29439,61248,161610,26541
2499,2003,TN,5845208,296974,40409,256565,396,2129,9413,28471,63323,166769,26473
2500,2004,TN,5893298,295147,41113,254991,357,2282,8863,29611,60386,169828,24777
2501,2005,TN,5955745,299839,45104,256093,431,2194,10009,32470,61508,169357,25228
2502,2006,TN,6038803,299839,45907,249297,409,2142,11129,32227,62845,163845,22593
2503,2007,TN,6156719,298104,46380,251724,397,2174,11022,32787,61715,168351,21658
2504,2008,TN,6240456,296565,44968,251597,412,2085,10809,31662,65265,167080,19252
2505,2009,TN,6296254,279090,41933,237157,468,2019,9653,29793,63832,158309,15016
2506,2010,TN,6357436,271764,38909,232855,359,2173,8361,28016,64293,153729,14833
2507,2011,TN,6399787,269795,38895,230900,380,2095,8082,28338,62830,153928,14142
2508,2012,TN,6454914,259138,41213,217925,400,2047,8151,30615,56231,148731,12963
2509,2013,TN,6497269,245746,38063,207683,335,1904,7333,27895,51334,144443,11906
2510,2014,TN,6547779,240900,39989,200911,369,1870,7268,29757,46798,141464,12649
2511,2015,TN,6595056,236863,40816,196047,418,2032,7499,30098,43753,139259,13035
2512,2016,TN,6651194,231932,42097,189835,486,1991,7813,31084,40312,134404,15119
2513,2017,TN,6708794,241968,43940,198028,538,3028,7867,32507,38819,140636,18573
2514,2018,TN,6771631,235584,42687,192897,508,3011,7222,31946,33538,138710,20649
2515,2019,TN,6829174,221800,40647,181153,498,2813,6150,31186,29869,132104,19180
2516,1960,TX,9579677,212407,15428,196979,824,892,3031,10681,57589,123415,15975
2517,1961,TX,9788000,208310,15441,192869,788,932,3042,10679,56814,120707,15348
2518,1962,TX,10116000,217270,15516,201754,730,937,3192,10657,58017,126751,16986
2519,1963,TX,10323000,231576,17511,214065,760,1008,3700,12043,62867,133454,17744
2520,1964,TX,10397000,260701,19769,240932,785,1176,4479,13329,68170,151736,21026
2521,1965,TX,10551000,272627,21029,251598,793,1132,4509,14595,71636,159767,20195
2522,1966,TX,10752000,308854,24382,284472,983,1237,5987,16175,82651,176987,24834
2523,1967,TX,10869000,340164,26749,313415,1073,1428,7558,16690,89387,195275,28753
2524,1968,TX,10972000,381640,29646,351994,1163,1589,9091,17803,103095,214729,34170
2525,1969,TX,11187000,443842,36707,407135,1269,2153,13045,20240,122152,241732,43251
2526,1970,TX,11196000,467248,40897,426351,1299,2329,15280,21989,129866,251091,45394
2527,1971,TX,11460000,469868,43089,426779,1383,2701,14220,24785,135648,247653,43478
2528,1972,TX,11649000,455985,41285,414700,1440,2739,14013,23093,141613,233646,39441
2529,1973,TX,11794000,486564,45458,441106,1506,2976,17056,23920,150463,248538,42105
2530,1974,TX,12050000,576832,47008,529824,1652,3486,19757,22113,185928,297850,46046
2531,1975,TX,12237000,661675,47803,613872,1639,3430,20076,22658,203821,362665,47386
2532,1976,TX,12487000,682340,44422,637918,1519,3666,17352,21885,193280,400767,43871
2533,1977,TX,12830000,692450,52309,640141,1705,4338,19552,26714,205672,383451,51018
2534,1978,TX,13014000,723164,56650,666514,1853,4927,21395,28475,209770,398923,57821
2535,1979,TX,13385000,793097,67988,725109,2235,6043,25667,34043,239758,412515,72836
2536,1980,TX,14169829,870458,77978,792480,2392,6700,29547,39339,262600,450792,79088
2537,1981,TX,14755000,892723,78560,814163,2446,6821,28528,40765,275978,454879,83306
2538,1982,TX,15280000,962977,88178,874799,2466,6816,33618,45278,285967,501727,87105
2539,1983,TX,15724000,928858,80546,848312,2239,6333,29769,42205,262198,503582,82532
2540,1984,TX,15989000,964128,80737,883391,2093,7343,28540,42761,266074,529518,87799
2541,1985,TX,16370000,1075295,90030,985265,2132,8364,31680,47854,289825,595912,99528
2542,1986,TX,16682000,1235822,109925,1125897,2258,8607,40021,59039,341747,665029,119121
2543,1987,TX,16789000,1296519,105961,1190558,1959,8068,38053,57881,355597,711594,123367
2544,1988,TX,16780000,1345369,109499,1235870,2022,8119,39301,60057,361972,739642,134256
2545,1989,TX,16991000,1346866,111889,1234977,2029,7951,37913,63996,342346,741660,150971
2546,1990,TX,16986510,1329494,129343,1200151,2389,8750,44297,73907,314512,731224,154415
2547,1991,TX,17349000,1356527,145743,1210784,2652,9266,49700,84125,312693,734261,163830
2548,1992,TX,17656000,1246148,142369,1103779,2239,9437,44588,86105,268928,689780,145071
2549,1993,TX,18031000,1161031,137419,1023612,2147,9922,40469,84881,233913,664862,124837
2550,1994,TX,18378000,1079225,129838,949387,2022,9102,37643,81071,214687,623947,110753
2551,1995,TX,18724000,1064336,124303,940033,1693,8563,33667,80380,202642,632468,104923
2552,1996,TX,19128000,1092002,123270,968732,1477,8376,32804,80613,204390,659414,104928
2553,1997,TX,19439000,1065357,117126,948231,1327,8011,30522,77266,201059,645451,101721
2554,1998,TX,19760000,1010062,111566,898496,1346,7913,28677,73630,194883,606967,96646
2555,1999,TX,20044141,1008567,112306,896261,1217,7614,29405,74070,190362,613862,92037
2556,2000,TX,20851820,1033311,113653,919658,1238,7856,30257,74302,188975,637522,93161
2557,2001,TX,21370983,1098809,122155,976654,1332,8169,35348,77306,204362,669625,102667
2558,2002,TX,21736925,1130292,126018,1004274,1302,8508,37580,78628,212602,688992,102680
2559,2003,TX,22103374,1138981,122246,1016735,1422,8025,37017,75782,219877,698644,98644
2560,2004,TX,22471549,1132256,121554,1010702,1364,8388,35817,75985,220118,696507,94077
2561,2005,TX,22928508,1111384,121091,990293,1407,8511,35790,75383,219828,677042,93423
2562,2006,TX,23507783,1080838,121378,959460,1384,8372,37254,74368,215647,648384,95429
2563,2007,TX,23904380,1107196,122054,985142,1420,8439,38769,73426,228313,662930,93899
2564,2008,TX,24304290,1093506,123586,969920,1370,8055,37739,76422,230054,654482,85384
2565,2009,TX,24782302,1116766,121684,995082,1330,8311,38022,74021,240058,678455,76569
2566,2010,TX,25253466,1064477,113231,951246,1249,7622,32843,71517,228597,654626,68023
2567,2011,TX,25631778,997544,104734,892810,1130,7486,28620,67498,215775,613131,63924
2568,2012,TX,26060796,982934,106475,876459,1148,7715,30385,67227,205002,606425,65032
2569,2013,TX,26505637,971046,108757,862289,1140,7610,31810,65351,191062,605440,65787
2570,2014,TX,26979078,923226,109711,813515,1192,8400,31021,65862,168085,577018,68412
2571,2015,TX,27429639,892427,113193,779234,1317,8941,31924,67629,153067,558653,67514
2572,2016,TX,27862596,889989,121042,768947,1478,9858,33317,72880,148740,551151,69056
2573,2017,TX,28322717,847127,123984,723143,1405,14536,32120,75923,133458,521767,67918
2574,2018,TX,28628666,799340,118197,681143,1327,15098,28339,73433,117897,493238,70008
2575,2019,TX,28995881,814678,121474,693204,1409,14824,28988,76253,113902,501813,77489
2576,1960,UT,890627,22634,484,22150,9,61,185,229,3655,17081,1414
2577,1961,UT,916000,19210,451,18759,16,62,186,187,3558,13575,1626
2578,1962,UT,967000,22559,554,22005,22,76,217,239,4170,15804,2031
2579,1963,UT,983000,23517,598,22919,24,77,225,272,4916,16177,1826
2580,1964,UT,992000,25037,888,24149,15,100,263,510,5233,16906,2010
2581,1965,UT,990000,28845,886,27959,15,88,229,554,6008,19887,2064
2582,1966,UT,1008000,33569,1148,32421,20,103,368,657,6952,22806,2663
2583,1967,UT,1024000,33223,1194,32029,28,74,394,698,7020,22702,2307
2584,1968,UT,1034000,37037,1201,35836,30,115,348,708,7665,25532,2639
2585,1969,UT,1045000,42092,1460,40632,26,147,512,775,8867,28654,3111
2586,1970,UT,1059273,44507,1459,43048,36,115,563,745,9692,30006,3350
2587,1971,UT,1099000,49299,1689,47610,30,161,665,833,10053,33949,3608
2588,1972,UT,1126000,47364,2063,45301,33,206,701,1123,10283,31891,3127
2589,1973,UT,1157000,49139,2412,46727,37,265,724,1386,11446,31796,3485
2590,1974,UT,1173000,58066,2517,55549,37,261,889,1330,13289,38391,3869
2591,1975,UT,1206000,61658,2795,58863,32,252,953,1558,14325,40673,3865
2592,1976,UT,1228000,61127,2709,58418,55,257,852,1545,13973,40548,3897
2593,1977,UT,1268000,60238,3043,57195,44,258,873,1868,14856,38098,4241
2594,1978,UT,1307000,65074,3552,61522,49,299,869,2335,15516,41642,4364
2595,1979,UT,1367000,75076,4158,70918,66,381,1062,2649,16115,50216,4587
2596,1980,UT,1458729,85782,4425,81357,55,404,1170,2796,19283,57354,4720
2597,1981,UT,1516000,87170,4527,82643,50,431,1286,2760,19326,58855,4462
2598,1982,UT,1554000,82891,4440,78451,53,369,1344,2674,17202,57341,3908
2599,1983,UT,1619000,82859,4144,78715,56,403,1041,2644,16446,58453,3816
2600,1984,UT,1652000,78738,4035,74703,47,336,958,2694,14176,56782,3745
2601,1985,UT,1645000,87470,4398,83072,50,381,908,3059,15511,63668,3893
2602,1986,UT,1665000,91215,4441,86774,53,421,976,2991,15233,67825,3716
2603,1987,UT,1680000,94393,3861,90532,55,365,887,2554,15975,71038,3519
2604,1988,UT,1691000,94333,4110,90223,47,399,915,2749,14898,71677,3648
2605,1989,UT,1707000,96994,4417,92577,45,489,898,2985,15311,73210,4056
2606,1990,UT,1722850,97512,4892,92620,52,651,980,3209,15172,73352,4096
2607,1991,UT,1770000,99255,5077,94178,52,808,976,3241,14872,75041,4265
2608,1992,UT,1813000,102589,5267,97322,54,823,1014,3376,16045,76964,4313
2609,1993,UT,1860000,97415,5599,91816,58,829,1090,3622,14708,72603,4505
2610,1994,UT,1908000,101142,5810,95332,56,806,1213,3735,15089,74554,5689
2611,1995,UT,1951000,118832,6415,112417,76,834,1309,4196,15623,89202,7592
2612,1996,UT,2000000,119717,6638,113079,63,836,1377,4362,16965,87542,8572
2613,1997,UT,2059000,123447,6878,116569,50,977,1408,4443,18335,89090,9144
2614,1998,UT,2100000,115624,6599,109025,65,875,1385,4274,17070,84255,7700
2615,1999,UT,2129836,105999,5869,100130,44,806,1158,3861,14592,78156,7382
2616,2000,UT,2233169,99958,5711,94247,43,863,1242,3563,14348,73438,6461
2617,2001,UT,2278712,96307,5314,90993,67,896,1197,3154,13804,70676,6513
2618,2002,UT,2318789,103129,5488,97641,47,943,1140,3358,15124,74795,7722
2619,2003,UT,2352119,105973,5889,100084,60,919,1258,3652,16961,75321,7802
2620,2004,UT,2420708,103229,5467,97762,46,967,1236,3398,15225,74889,7648
2621,2005,UT,2490334,101158,5612,95546,56,920,1095,3541,14971,72082,8493
2622,2006,UT,2550063,95393,5722,89671,46,869,1245,3562,14701,66671,8299
2623,2007,UT,2643330,98704,6210,92594,58,908,1420,3824,15541,68241,8812
2624,2008,UT,2727343,98457,6130,92327,40,916,1422,3752,14754,70308,7265
2625,2009,UT,2784572,97749,5998,91751,39,941,1304,3714,15258,69556,6937
2626,1960,VT,389881,3218,37,3181,1,9,9,18,944,1898,339
2627,1961,VT,395000,3226,79,3147,6,36,16,21,1324,1489,334
2628,1962,VT,390000,4001,57,3944,1,24,18,14,1461,2133,350
2629,1963,VT,390000,4334,92,4242,2,33,27,30,1614,2167,461
2630,1964,VT,409000,3527,89,3438,2,24,13,50,1064,1968,406
2631,1965,VT,397000,3892,89,3803,2,26,18,43,1286,2128,389
2632,1966,VT,405000,4524,80,4444,6,28,16,30,1733,2238,473
2633,1967,VT,417000,5095,86,5009,13,18,8,47,2156,2332,521
2634,1968,VT,422000,5117,157,4960,11,31,26,89,2093,2505,362
2635,1969,VT,439000,6898,234,6664,11,40,41,142,2632,3536,496
2636,1970,VT,444732,8437,329,8108,6,46,34,243,3249,4308,551
2637,1971,VT,458000,9528,333,9195,5,52,45,231,3325,5233,637
2638,1972,VT,462000,10185,445,9740,8,50,49,338,3411,5802,527
2639,1973,VT,464000,11591,327,11264,10,52,41,224,3719,6913,632
2640,1974,VT,470000,13511,353,13158,16,58,65,214,4791,7551,816
2641,1975,VT,471000,16396,448,15948,10,69,74,295,5181,9948,819
2642,1976,VT,476000,15195,563,14632,26,71,85,381,4868,8821,943
2643,1977,VT,483000,19146,722,18424,7,77,149,489,6512,10631,1281
2644,1978,VT,487000,18538,810,17728,16,71,70,653,6142,10543,1043
2645,1979,VT,493000,26125,908,25217,7,113,141,647,7779,15776,1662
2646,1980,VT,511299,25506,914,24592,11,149,199,555,7806,15278,1508
2647,1981,VT,515000,26063,659,25404,22,170,142,325,8033,15860,1511
2648,1982,VT,516000,24210,655,23555,12,180,119,344,6080,16160,1315
